id_student,total_clicks,avg_clicks_per_day,max_clicks_per_day,days_with_no_activity,variance_of_clicks,num_activity_types,most_frequent_activity_type,active_days,interaction_gap,first_interaction_date,last_interaction_date,project_trajectory_score,dynamic_interaction_index,final_result
6516,708,4.425,36,0,31.705031446540882,7,oucontent,41,1.5853658536585367,135,200,947.5223880597015,0.007952997326306601,Pass
11391,36,4.5,14,0,18.571428571428573,3,homepage,4,10.0,153,193,48.17910447761194,0.11970716769046315,Pass
23698,111,1.9473684210526316,20,0,7.229323308270678,7,subpage,14,3.9285714285714284,139,194,148.55223880597015,0.02422288375517376,Pass
23798,113,2.4565217391304346,21,0,11.00917874396135,7,homepage,15,3.533333333333333,144,197,151.22885572139305,0.029362904863113635,Distinction
24186,51,3.1875,7,0,4.9625,6,quiz,3,3.0,158,167,68.25373134328359,0.043679743941069535,Pass
24213,522,2.6231155778894473,23,0,10.862291254251053,7,subpage,32,1.75,121,177,698.5970149253732,0.006313791247565436,Withdrawn
24213,522,2.6231155778894473,23,0,10.862291254251053,7,subpage,32,1.75,121,177,698.5970149253732,0.006313791247565436,Pass
24391,235,3.983050847457627,33,0,35.499707773232025,6,oucontent,18,3.3333333333333335,134,194,314.50248756218906,0.025353885620129437,Distinction
24734,66,2.2,8,0,3.3379310344827577,4,forumng,9,7.0,136,199,88.32835820895522,0.02768182661791332,Pass
25107,637,5.898148148148148,40,0,54.87737971616477,7,forumng,32,1.84375,121,180,852.5024875621891,0.011629398455783823,Pass
25150,1087,6.072625698324022,82,0,139.55087565124597,8,oucontent,36,1.6111111111111112,121,179,1454.7412935323384,0.010867677417426799,Pass
26023,158,2.7241379310344827,15,0,8.203266787658803,7,homepage,29,2.0344827586206895,134,193,211.45273631840797,0.01812743393495857,Pass
26192,307,2.869158878504673,11,0,4.963851172632696,6,oucontent,25,2.48,135,197,410.860696517413,0.007257231892981924,Distinction
26211,3312,6.519685039370079,136,0,172.63274782959832,14,oucontent,59,1.0,121,180,4432.477611940299,0.003967082786287709,Pass
26315,672,4.280254777070064,37,0,32.52351788339049,10,oucontent,25,2.4,132,192,899.3432835820896,0.008486516975156014,Pass
26734,2,2.0,2,0,,1,homepage,1,0.0,133,133,2.6766169154228856,,Fail
27116,366,2.9516129032258065,40,0,25.818777865198005,7,forumng,28,2.357142857142857,135,201,489.82089552238807,0.013883109693352809,Distinction
27189,910,6.5,83,0,128.294964028777,9,subpage,13,3.769230769230769,127,176,1217.860696517413,0.012446963394837215,Fail
27417,74,1.9473684210526316,8,0,2.7539118065433854,5,resource,8,5.625,138,183,99.03482587064677,0.022425559866086096,Withdrawn
27417,74,1.9473684210526316,8,0,2.7539118065433854,5,resource,8,5.625,138,183,99.03482587064677,0.022425559866086096,Withdrawn
27683,448,4.571428571428571,92,0,133.71134020618555,7,oucontent,12,4.0,122,170,599.5621890547264,0.025811075841040695,Pass
27759,83,2.128205128205128,8,0,3.851551956815115,7,homepage,10,6.6,135,201,111.07960199004975,0.023645025571136652,Fail
27780,36,2.5714285714285716,6,0,3.0329670329670324,4,homepage,7,6.857142857142857,124,172,48.17910447761194,0.048376154665830354,Pass
27891,9,3.0,7,0,12.0,2,quiz,1,0.0,124,124,12.044776119402986,0.38490017945975047,Withdrawn
27891,9,3.0,7,0,12.0,2,quiz,1,0.0,124,124,12.044776119402986,0.38490017945975047,Fail
27935,21,4.2,9,0,15.7,2,homepage,3,5.0,135,150,28.1044776119403,0.18868202624913286,Fail
28046,205,2.4698795180722892,15,0,5.861886570672936,7,subpage,18,3.0555555555555554,137,192,274.3532338308458,0.011810406456612115,Fail
28061,204,1.7586206896551724,6,0,1.5238380809595198,6,oucontent,32,2.0625,135,201,273.01492537313436,0.006051168463776009,Pass
28400,316,3.9012345679012346,23,0,25.915123456790134,6,oucontent,22,2.6818181818181817,137,196,422.90547263681594,0.016109778102029106,Pass
28418,100,3.5714285714285716,37,0,46.6984126984127,4,resource,6,6.0,136,172,133.83084577114428,0.06833623687211104,Fail
28787,102,2.7567567567567566,30,0,24.744744744744743,5,homepage,14,4.214285714285714,140,199,136.50746268656718,0.04876871553398895,Pass
28897,679,4.32484076433121,75,0,86.47713539114814,9,oucontent,35,1.5714285714285714,125,180,908.7114427860697,0.01369559400389083,Distinction
29144,333,2.107594936708861,11,0,3.7144642425219687,6,subpage,25,2.36,121,180,445.65671641791045,0.005787671290206945,Fail
29335,2823,5.104882459312839,69,0,57.78245800246349,12,subpage,55,1.2,135,201,3778.044776119403,0.0026926947773896997,Distinction
29411,243,2.730337078651685,16,0,10.812819203268644,8,subpage,19,2.263157894736842,131,174,325.2089552238806,0.013532037639026715,Withdrawn
29411,243,2.730337078651685,16,0,10.812819203268644,8,subpage,19,2.263157894736842,131,174,325.2089552238806,0.013532037639026715,Pass
29420,203,5.638888888888889,51,0,115.20873015873018,6,forumng,6,4.333333333333333,137,163,271.6766169154229,0.05287454668252238,Pass
29639,2642,3.8625730994152048,77,0,40.40568355980239,9,forumng,77,1.025974025974026,122,201,3535.810945273632,0.002405960072689576,Pass
29639,2642,3.8625730994152048,77,0,40.40568355980239,9,forumng,77,1.025974025974026,122,201,3535.810945273632,0.002405960072689576,Pass
29764,580,3.918918918918919,58,0,80.5784151498437,5,quiz,23,2.5217391304347827,122,180,776.2189054726368,0.015476807007332704,Distinction
29769,122,3.935483870967742,17,0,17.395698924731185,6,oucontent,5,6.0,137,167,163.273631840796,0.034187009337067455,Fail
29820,805,3.2071713147410357,45,0,32.18890836653386,8,forumng,33,1.696969696969697,121,177,1077.3383084577115,0.007047859599610269,Pass
29820,805,3.2071713147410357,45,0,32.18890836653386,8,forumng,33,1.696969696969697,121,177,1077.3383084577115,0.007047859599610269,Pass
29985,319,3.6666666666666665,26,0,19.387596899224807,6,forumng,17,3.2941176470588234,123,179,426.92039800995025,0.01380293070378357,Pass
30091,86,2.2051282051282053,7,0,2.9568151147098516,6,homepage,13,5.0,135,200,115.09452736318408,0.019994642044306996,Pass
30096,68,3.238095238095238,27,0,31.190476190476193,4,resource,8,6.25,136,186,91.00497512437812,0.08213005051077402,Distinction
30549,8,1.6,4,0,1.8,3,homepage,2,7.0,133,147,10.706467661691542,0.16770509831248423,Fail
30850,440,3.697478991596639,56,0,34.28058681099558,7,quiz,30,2.1333333333333333,137,201,588.8557213930349,0.013306733135935741,Distinction
31107,1384,4.925266903914591,74,0,46.86939501779358,7,forumng,54,1.0925925925925926,121,180,1852.2189054726368,0.004946620394907848,Pass
31161,530,3.7857142857142856,60,0,61.17677286742032,9,homepage,48,1.3541666666666667,136,201,709.3034825870648,0.014757657004221752,Distinction
31173,214,4.458333333333333,27,0,28.891843971631207,7,forumng,12,4.75,136,193,286.39800995024876,0.025117352296793554,Fail
